query,label
"Show me the authors from ESWC 2024 conference",authors_by_conference
"List all authors who participated in ESWC 2024",authors_by_conference
"Retrieve the list of authors for ESWC 2024",authors_by_conference
"Find authors by conference: ESWC 2024",authors_by_conference
"Who are the authors that presented at ESWC 2024?",authors_by_conference
"Display the conference authors for ESWC 2024",authors_by_conference
"Get a list of authors from the ESWC 2024 event",authors_by_conference
"Provide names of authors for ESWC 2024 conference",authors_by_conference
"Which authors attended ESWC 2024?",authors_by_conference
"Fetch authors associated with ESWC 2024 conference",authors_by_conference
"List the names of authors from ESWC 2024",authors_by_conference
"Show conference participants' authors for ESWC 2024",authors_by_conference
"What are the authors from ESWC 2024?",authors_by_conference
"Detail the authors presenting at ESWC 2024 conference",authors_by_conference
"Who were the authors at the ESWC 2024 event?",authors_by_conference
"Retrieve conference participants: authors for ESWC 2024",authors_by_conference
"List the authors involved in ESWC 2024",authors_by_conference
"Get conference authors list for ESWC 2024",authors_by_conference
"Find the author details for ESWC 2024 conference",authors_by_conference
"Display authors from the ESWC 2024 session",authors_by_conference
"Show me the authors from NeurIPS 2021 conference",authors_by_conference
"List all authors who participated in NeurIPS 2021",authors_by_conference
"Retrieve the list of authors for NeurIPS 2021",authors_by_conference
"Find authors by conference: NeurIPS 2021",authors_by_conference
"Who are the authors that presented at NeurIPS 2021?",authors_by_conference
"Display the conference authors for NeurIPS 2021",authors_by_conference
"Get a list of authors from the NeurIPS 2021 event",authors_by_conference
"Provide names of authors for NeurIPS 2021 conference",authors_by_conference
"Which authors attended NeurIPS 2021?",authors_by_conference
"Fetch authors associated with NeurIPS 2021 conference",authors_by_conference
"List the names of authors from NeurIPS 2021",authors_by_conference
"Show conference participants' authors for NeurIPS 2021",authors_by_conference
"What are the authors from NeurIPS 2021?",authors_by_conference
"Detail the authors presenting at NeurIPS 2021 conference",authors_by_conference
"Who were the authors at the NeurIPS 2021 event?",authors_by_conference
"Retrieve conference participants: authors for NeurIPS 2021",authors_by_conference
"List the authors involved in NeurIPS 2021",authors_by_conference
"Get conference authors list for NeurIPS 2021",authors_by_conference
"Find the author details for NeurIPS 2021 conference",authors_by_conference
"Display authors from the NeurIPS 2021 session",authors_by_conference
