query,label
"List all conferences held in 2020","conferences"
"Show all academic conferences from 2020","conferences"
"Provide a schedule of conferences in 2020","conferences"
"Which international conferences took place in 2020?","conferences"
"Display details of conferences in 2020","conferences"
"Give me a list of conferences scheduled for 2020","conferences"
"Enumerate all conferences in the year 2020","conferences"
"What conferences were organized in 2020?","conferences"
"Detail the conferences held in 2020","conferences"
"Provide conference information for 2020","conferences"
"List conferences of 2020","conferences"
"Show conference events in 2020","conferences"
"Give details of conferences from 2020","conferences"
"Which conferences occurred in 2020?","conferences"
"Display the 2020 conference calendar","conferences"
"Provide a list of 2020 conferences","conferences"
"Enumerate the academic conferences held in 2020","conferences"
"Show all international conferences of 2020","conferences"
"List technical conferences in 2020","conferences"
"Display major conferences from 2020","conferences"
"Identify conferences in 2020","conferences"
"Provide schedule for conferences in 2020","conferences"
"List upcoming conferences for 2020","conferences"
"Show all 2020 conference events","conferences"
"Detail academic events of 2020","conferences"
"Provide the list of conferences held in 2020","conferences"
"Enumerate conferences scheduled in 2020","conferences"
"Show organized conferences in 2020","conferences"
"List conferences and their dates in 2020","conferences"
"Display a roster of 2020 conferences","conferences"
"Provide details of international conferences in 2020","conferences"
"List European conferences in 2020","conferences"
"Show conferences with virtual sessions in 2020","conferences"
"Detail the conference lineup for 2020","conferences"
"List all government-sponsored conferences in 2020","conferences"
"Provide the 2020 conference schedule by region","conferences"
"Show a comprehensive list of 2020 conferences","conferences"
"Enumerate national conferences in 2020","conferences"
"List local conferences in 2020","conferences"
"Display hybrid conferences in 2020","conferences"
"Provide a calendar of conferences for 2020","conferences"
"List conferences by category in 2020","conferences"
"Show all academic and industry conferences in 2020","conferences"
"Detail the conference roster for 2020","conferences"
"List major global conferences in 2020","conferences"
"Provide the complete conference schedule for 2020","conferences"
"Show all conferences organized in 2020","conferences"
"Display the final list of conferences for 2020","conferences"
"List all research papers on deep learning published in 2019","papers"
"Show research papers on deep learning from 2019","papers"
"Provide a list of deep learning papers from 2019","papers"
"Display academic papers on deep learning in 2019","papers"
"Enumerate deep learning research articles of 2019","papers"
"Give me deep learning publications from 2019","papers"
"Which deep learning studies were published in 2019?","papers"
"List all scholarly papers on deep learning in 2019","papers"
"Show me 2019 deep learning research papers","papers"
"Provide deep learning journal articles from 2019","papers"
"List influential deep learning papers from 2019","papers"
"Display recent deep learning studies from 2019","papers"
"Enumerate deep learning research outputs in 2019","papers"
"Give a compilation of deep learning papers from 2019","papers"
"Which deep learning articles were published in 2019?","papers"
"List seminal deep learning research from 2019","papers"
"Show all papers on deep learning published in 2019","papers"
"Display a list of deep learning papers from 2019","papers"
"Find research on deep learning from 2019","papers"
"Show all 2019 publications about deep learning","papers"
"List recent deep learning research from 2019","papers"
"Display deep learning articles published in 2019","papers"
"Find all academic papers on deep learning from 2019","papers"
"List all deep learning studies from 2019","papers"
"Show comprehensive deep learning papers from 2019","papers"
"Display deep learning journal articles from 2019","papers"
"Find influential deep learning papers of 2019","papers"
"List top deep learning papers from 2019","papers"
"Show important deep learning research from 2019","papers"
"Display deep learning conference papers from 2019","papers"
"Find deep learning articles published in 2019","papers"
"List all machine learning papers from 2019 on deep learning","papers"
"Show deep learning studies published in 2019","papers"
"Display innovative deep learning research from 2019","papers"
"Find seminal deep learning papers from 2019","papers"
"List influential research papers on deep learning in 2019","papers"
"Show critical deep learning publications from 2019","papers"
"Display deep learning work from 2019","papers"
"List deep learning research findings from 2019","papers"
"Show scholarly deep learning articles from 2019","papers"
