query,label
"Who wrote the latest research publications?","authors"
"Identify all scholars credited as authors.","authors"
"List the researchers behind the published studies.","authors"
"Show me the author roster for recent articles.","authors"
"Which individuals are recognized as authors in the system?","authors"
"Retrieve the list of contributors from the research database.","authors"
"Provide names of academics who are listed as authors.","authors"
"Find the leading experts serving as authors.","authors"
"Display the directory of researchers with author roles.","authors"
"Who are the primary authors in our latest publications?","authors"
"Show me the list of distinguished academic authors.","authors"
"Identify authors that work or have worked in oxford university.","authors"
"Which authors have contributed to multiple studies?","authors"
"Provide a complete list of research contributors.","authors"
"Give me authors which have published the most in the field of artificial intelligence.","authors"
"Display the profiles of all individuals marked as authors.","authors"
"Who are the top publishing authors in our system?","authors"
"Show me a roster of researchers who authored articles.","authors"
"Identify the experts listed as authors in recent work.","authors"
"List all individuals serving as authors in the database.","authors"
"Display the academic names associated with authorship.","authors"
"Who are the notable contributors recognized as authors?","authors"
"Retrieve the roster of scientists credited as authors.","authors"
"authors that have published in iswc.","authors"
"Show me the complete list of individuals credited as authors.","authors"
"What upcoming academic events are scheduled?","conferences"
"List the next international symposiums.","conferences"
"Show me the schedule for upcoming research summits.","conferences"
"Which scholarly meetings are planned for this year?","conferences"
"Retrieve details of future academic gatherings.","conferences"
"Display the calendar for the next conferences.","conferences"
"What are the dates for upcoming scientific meetings?","conferences"
"give me all the conferences with the tag of iswc.","conferences"
"Show me the upcoming research conferences.","conferences"
"Which industry events are on the horizon?","conferences"
"Display a list of upcoming academic seminars.","conferences"
"What are the next planned scientific conferences?","conferences"
"List the upcoming international research events.","conferences"
"Show me a calendar of upcoming academic events.","conferences"
"Retrieve the schedule for future research conferences.","conferences"
"Which conferences are set for the next quarter?","conferences"
"Display the upcoming academic events roster.","conferences"
"What scientific conferences are on the agenda?","conferences"
"List future gatherings for academic professionals.","conferences"
"Show me upcoming conferences focusing on innovation.","conferences"
"Identify the next round of scholarly events.","conferences"
"Display the planned schedule for research symposiums.","conferences"
"What are the upcoming events in the science domain?","conferences"
"List the future conferences for technology and research.","conferences"
"Show me the timetable for upcoming academic gatherings.","conferences"
"What research institutions are part of our network?","organizations"
"List all organizations collaborating on research projects.","organizations"
"Show me the directory of partner institutions.","organizations"
"Which organizations are involved in innovative research?","organizations"
"Retrieve a list of academic institutions from the database.","organizations"
"Display the names of organizations active in research.","organizations"
"What companies and institutes are part of our research network?","organizations"
"List the organizations supporting recent studies.","organizations"
"Show me the list of research institutions and organizations.","organizations"
"Give me organizations or institutes that publish on artificial intelligence?","organizations"
"Display the directory of organizations in our system.","organizations"
"What organizations are contributing to scientific advancements?","organizations"
"List the partner organizations in our research database.","organizations"
"Show me all institutes and organizations involved in research.","organizations"
"Identify the organizations with active research programs.","organizations"
"Retrieve the list of companies and institutions in our database.","organizations"
"Display the names of organizations affiliated with our projects.","organizations"
"I want a list of the research bodies working on bionomes","organizations"
"List the institutions that collaborate on academic research.","organizations"
"Show me the roster of organizations involved in innovation.","organizations"
"Identify all organizations registered on the research platform.","organizations"
"Display a list of organizations driving scientific research.","organizations"
"What organizations have partnered with leading universities?","organizations"
"List the organizations that support interdisciplinary research.","organizations"
"Show me the complete directory of research organizations.","organizations"
"What are the latest research publications available?","papers"
"List the most recent scholarly articles.","papers"
"Show me the new research papers added to the database.","papers"
"Which academic papers were published this month?","papers"
"Retrieve a list of current research publications.","papers"
"Display the latest articles in the repository.","papers"
"What research papers are trending right now?","papers"
"List the newly published academic papers.","papers"
"Show me the recent studies available as papers.","papers"
"give me papers on using artificial intelligence in digital governance?","papers"
"Display a collection of recent scholarly papers.","papers"
"What are the current research articles on the platform?","papers"
"List the academic publications added this week.","papers"
"Show me the recent papers in the research archive.","papers"
"Which scholarly articles are newly available?","papers"
"Retrieve the list of the latest research papers.","papers"
"Display new academic papers in our collection.","papers"
"What are the top recent publications in research?","papers"
"List the newly added research articles.","papers"
"are there available publications related to bionomes.","papers"
"Which research papers have been recently published?","papers"
"Display the list of current scholarly publications.","papers"
"What are the most recent academic articles available?","papers"
"List the fresh research papers in the database.","papers"
"Show me the latest academic research articles.","papers"
