query,label,predicted_label,confidence
Who are all the authors in your database?,authors,authors,0.9727920889854431
Show me the complete list of authors.,authors,authors,0.9735327959060669
I need a full list of authors available.,authors,authors,0.9665200114250183
Could you display all the author names?,authors,authors,0.9736574292182922
Give me all the authors in the system.,authors,authors,0.9616183042526245
List every author recorded in the database.,authors,authors,0.9737822413444519
Fetch the names of all the authors.,authors,authors,0.9736654758453369
Provide a roster of all authors.,authors,authors,0.9636409282684326
Display all authors for me.,authors,authors,0.9335060119628906
Show me the registered authors.,authors,authors,0.9638583064079285
Retrieve the complete list of authors.,authors,authors,0.9737551808357239
Can you list all the authors?,authors,authors,0.9688429832458496
Enumerate every author in the dataset.,authors,authors,0.975470781326294
Which authors are currently available?,authors,authors,0.9698897004127502
Show all the author profiles.,authors,authors,0.9668944478034973
Display a list of all author names.,authors,authors,0.9709229469299316
Give me a summary of the authors.,authors,authors,0.9633278846740723
List all the individuals who are authors.,authors,authors,0.9721472263336182
Provide the names of every author in the system.,authors,authors,0.9647576212882996
Show me the entire author database.,authors,authors,0.9707472920417786
List the authors who presented at the ICML conference.,authors_by_conference,authors_by_conference,0.6989887356758118
Show authors for the NeurIPS conference.,authors_by_conference,authors_by_conference,0.9178034663200378
Who are the speakers at the ACL conference?,authors_by_conference,authors_by_conference,0.881225049495697
Display the names of authors from the CVPR conference.,authors_by_conference,authors_by_conference,0.8524876236915588
Give me a list of authors who participated in SIGGRAPH.,authors_by_conference,authors_by_conference,0.8695170283317566
Retrieve authors based on their conference participation.,authors_by_conference,authors,0.8482024669647217
Which authors attended the ECCV conference?,authors_by_conference,authors_by_conference,0.9234172701835632
Show me authors from the KDD conference.,authors_by_conference,authors_by_conference,0.9097820520401001
Find authors that presented at the AAAI conference.,authors_by_conference,authors_by_conference,0.7589989900588989
List the authors featured in the EMNLP conference.,authors_by_conference,authors_by_conference,0.9249634146690369
Display all authors from the NAACL conference.,authors_by_conference,authors_by_conference,0.8978414535522461
Who are the conference authors at ICLR?,authors_by_conference,authors_by_conference,0.9382486343383789
Fetch the list of authors from the SIGMOD conference.,authors_by_conference,authors_by_conference,0.8559600710868835
Provide the names of authors from the WWW conference.,authors_by_conference,authors_by_conference,0.76726895570755
Which authors contributed at the ICASSP conference?,authors_by_conference,authors_by_conference,0.9520862102508545
Show me the names of authors from international conferences.,authors_by_conference,authors,0.7021239995956421
List all authors by their conference appearances.,authors_by_conference,authors,0.7981467247009277
Retrieve authors from the COLT conference.,authors_by_conference,authors_by_conference,0.8509185910224915
Display conference authors from the ECML PKDD event.,authors_by_conference,authors_by_conference,0.9613260626792908
Who are the presenters at the EMNLP conference?,authors_by_conference,authors_by_conference,0.9622151255607605
Show the list of authors from the ACL conference.,authors_by_conference,authors_by_conference,0.8289507627487183
List the authors affiliated with MIT.,authors_by_organization,authors,0.6697373390197754
Show me authors affiliated with Stanford University.,authors_by_organization,authors_by_organization,0.6043846607208252
Who are the authors working at Google?,authors_by_organization,authors,0.7403393387794495
Display authors from the University of Oxford.,authors_by_organization,authors,0.5455284118652344
Give me a list of authors linked to IBM.,authors_by_organization,authors,0.8376635909080505
Find authors associated with Harvard University.,authors_by_organization,authors_by_organization,0.6789976954460144
I need the names of authors from Microsoft.,authors_by_organization,authors,0.7394583225250244
Retrieve authors from the organization Amazon.,authors_by_organization,authors_by_organization,0.7106080055236816
Which authors are affiliated with Facebook?,authors_by_organization,authors,0.7063469290733337
Show authors who work at Tesla.,authors_by_organization,authors,0.48415160179138184
List authors from Caltech.,authors_by_organization,authors_by_organization,0.8881508708000183
Display authors from Carnegie Mellon University.,authors_by_organization,authors_by_organization,0.7258390784263611
Provide names of authors from Intel.,authors_by_organization,authors,0.796271026134491
Who are the authors at Apple?,authors_by_organization,authors,0.6547837853431702
Fetch authors from NVIDIA.,authors_by_organization,authors,0.5584306716918945
List the researchers from UC Berkeley.,authors_by_organization,authors,0.493529736995697
Show me authors working at IBM Research.,authors_by_organization,authors,0.44997140765190125
Get the list of authors from Google AI.,authors_by_organization,authors_by_organization,0.431001752614975
Retrieve authors affiliated with Princeton University.,authors_by_organization,authors_by_organization,0.6370903253555298
Display authors from ETH Zurich.,authors_by_organization,authors_by_organization,0.4655609726905823
List authors connected to Stanford.,authors_by_organization,authors_by_organization,0.5797436237335205
What organizations do these authors represent?,authors_by_organization,authors,0.5542360544204712
What conferences are listed in the database?,conferences,organizations,0.5751506090164185
Show me all the upcoming conferences.,conferences,conferences,0.751427948474884
List all the academic conferences available.,conferences,conferences,0.5119298100471497
Display the conference schedule.,conferences,conferences,0.631126880645752
I need a list of all conferences.,conferences,organizations,0.4270801842212677
Provide the names of all conferences.,conferences,organizations,0.43707019090652466
Retrieve the conference calendar.,conferences,conferences,0.5482977032661438
Which conferences are currently active?,conferences,conferences,0.6365702152252197
Show me international conferences.,conferences,conferences,0.5601764917373657
Display every conference in the system.,conferences,organizations,0.5251277089118958
Get details of each scheduled conference.,conferences,conferences,0.7276997566223145
Which conferences are happening this year?,conferences,conferences,0.8806138038635254
